ari,f1,fn,fp,mcc,precision,recall,tn,tp
0.3569,0.4375,17.0,1.0,0.4736,0.875,0.2917,171.0,7.0
0.4533,0.64,0.0,27.0,0.6302,0.4706,1.0,146.0,24.0
0.4521,0.64,0.0,27.0,0.6299,0.4706,1.0,145.0,24.0
0.48,0.6538,0.0,18.0,0.6452,0.4857,1.0,108.0,17.0
0.5237,0.6765,3.0,19.0,0.6419,0.5476,0.8846,160.0,23.0
0.5751,0.6842,4.0,8.0,0.6447,0.619,0.7647,128.0,13.0
0.4304,0.6176,0.0,26.0,0.6121,0.4468,1.0,135.0,21.0
0.4375,0.6102,0.0,23.0,0.6104,0.439,1.0,129.0,18.0
0.5659,0.7013,7.0,16.0,0.6538,0.6279,0.7941,199.0,27.0
0.523,0.6538,6.0,12.0,0.6046,0.5862,0.7391,153.0,17.0
0.5458,0.6667,5.0,11.0,0.6234,0.5926,0.7619,150.0,16.0
0.6197,0.6667,4.0,0.0,0.6927,1.0,0.5,95.0,4.0
0.5625,0.6154,5.0,0.0,0.6503,1.0,0.4444,98.0,4.0
0.5986,0.7027,4.0,7.0,0.664,0.65,0.7647,126.0,13.0
0.435,0.6102,0.0,23.0,0.6097,0.439,1.0,127.0,18.0
0.4466,0.5455,3.0,7.0,0.5099,0.4615,0.6667,100.0,6.0
0.5557,0.6667,5.0,9.0,0.6245,0.6087,0.7368,144.0,14.0
0.5514,0.6667,4.0,7.0,0.6225,0.6111,0.7333,109.0,11.0
0.5219,0.6765,3.0,19.0,0.6412,0.5476,0.8846,158.0,23.0
0.2908,0.3721,26.0,1.0,0.4244,0.8889,0.2353,215.0,8.0
0.3274,0.4186,24.0,1.0,0.4603,0.9,0.2727,197.0,9.0
0.5363,0.6522,7.0,9.0,0.6039,0.625,0.6818,155.0,15.0
0.5514,0.6667,5.0,7.0,0.6201,0.6316,0.7059,119.0,12.0
0.5787,0.6809,9.0,6.0,0.6407,0.7273,0.64,171.0,16.0
0.3278,0.4186,24.0,1.0,0.4604,0.9,0.2727,198.0,9.0
0.5222,0.6538,6.0,12.0,0.6042,0.5862,0.7391,152.0,17.0
0.5049,0.6947,0.0,29.0,0.6737,0.5323,1.0,168.0,33.0
0.6171,0.6667,4.0,0.0,0.6919,1.0,0.5,90.0,4.0
0.5752,0.6829,4.0,9.0,0.6456,0.6087,0.7778,140.0,14.0
0.5144,0.7021,0.0,28.0,0.6804,0.541,1.0,166.0,33.0
0.5833,0.7164,7.0,12.0,0.6667,0.6667,0.7742,171.0,24.0
0.5945,0.7,4.0,8.0,0.6623,0.6364,0.7778,135.0,14.0
0.4165,0.6087,0.0,27.0,0.6034,0.4375,1.0,134.0,21.0
0.4353,0.6301,0.0,27.0,0.6199,0.46,1.0,137.0,23.0
0.5144,0.7021,0.0,28.0,0.6804,0.541,1.0,166.0,33.0
0.514,0.6383,6.0,11.0,0.5898,0.5769,0.7143,150.0,15.0
0.4733,0.6429,0.0,20.0,0.6376,0.4737,1.0,121.0,18.0
0.5347,0.6667,6.0,12.0,0.6174,0.6,0.75,154.0,18.0
0.4304,0.6176,0.0,26.0,0.6121,0.4468,1.0,135.0,21.0
0.5533,0.6667,5.0,8.0,0.6221,0.619,0.7222,131.0,13.0
0.5759,0.6829,4.0,9.0,0.6458,0.6087,0.7778,141.0,14.0
0.5567,0.6667,5.0,7.0,0.6223,0.6316,0.7059,125.0,12.0
0.6384,0.7,6.0,0.0,0.7151,1.0,0.5385,113.0,7.0
0.6177,0.6667,4.0,0.0,0.6921,1.0,0.5,91.0,4.0
0.4608,0.6296,0.0,20.0,0.6272,0.4595,1.0,119.0,17.0
0.4848,0.6122,9.0,10.0,0.556,0.6,0.625,159.0,15.0
0.4496,0.625,0.0,18.0,0.6216,0.4545,1.0,102.0,15.0
0.6177,0.6667,4.0,0.0,0.6921,1.0,0.5,91.0,4.0
0.5811,0.7105,7.0,15.0,0.6647,0.6429,0.7941,202.0,27.0
0.5005,0.6939,0.0,30.0,0.672,0.5312,1.0,170.0,34.0
0.5144,0.7021,0.0,28.0,0.6804,0.541,1.0,166.0,33.0
0.5986,0.7027,4.0,7.0,0.664,0.65,0.7647,126.0,13.0
0.6197,0.6667,4.0,0.0,0.6927,1.0,0.5,95.0,4.0
0.5411,0.6552,15.0,5.0,0.6201,0.7917,0.5588,195.0,19.0
0.545,0.6667,5.0,11.0,0.6231,0.5926,0.7619,149.0,16.0
0.428,0.6197,0.0,27.0,0.6124,0.449,1.0,137.0,22.0
0.5945,0.7,4.0,8.0,0.6623,0.6364,0.7778,135.0,14.0
0.2776,0.359,24.0,1.0,0.4107,0.875,0.2258,193.0,7.0
0.4982,0.6563,3.0,19.0,0.6208,0.525,0.875,150.0,21.0
0.4349,0.6122,0.0,19.0,0.6108,0.4412,1.0,104.0,15.0
0.6166,0.6667,5.0,0.0,0.6917,1.0,0.5,111.0,5.0
0.6664,0.7143,4.0,0.0,0.7307,1.0,0.5556,99.0,5.0
0.5514,0.6667,5.0,7.0,0.6201,0.6316,0.7059,119.0,12.0
0.4733,0.6582,0.0,27.0,0.6454,0.4906,1.0,152.0,26.0
0.5495,0.6667,5.0,7.0,0.6193,0.6316,0.7059,117.0,12.0
0.5559,0.6667,5.0,7.0,0.6219,0.6316,0.7059,124.0,12.0
0.5104,0.64,6.0,12.0,0.5907,0.5714,0.7273,152.0,16.0
0.5698,0.7105,7.0,15.0,0.6604,0.6429,0.7941,185.0,27.0
0.5039,0.6947,0.0,29.0,0.6734,0.5323,1.0,167.0,33.0
0.5734,0.6897,11.0,7.0,0.6446,0.7407,0.6452,181.0,20.0
0.6197,0.6667,4.0,0.0,0.6927,1.0,0.5,95.0,4.0
0.577,0.6897,11.0,7.0,0.646,0.7407,0.6452,187.0,20.0
0.4496,0.625,0.0,18.0,0.6216,0.4545,1.0,102.0,15.0
0.5363,0.6667,6.0,12.0,0.6181,0.6,0.75,156.0,18.0
0.4842,0.68,0.0,32.0,0.6599,0.5152,1.0,175.0,34.0
0.4938,0.6875,0.0,30.0,0.6667,0.5238,1.0,168.0,33.0
0.435,0.6102,0.0,23.0,0.6097,0.439,1.0,127.0,18.0
0.5945,0.7,4.0,8.0,0.6623,0.6364,0.7778,135.0,14.0
0.4937,0.6869,0.0,31.0,0.6663,0.5231,1.0,174.0,34.0
0.4842,0.68,0.0,32.0,0.6599,0.5152,1.0,175.0,34.0
0.6077,0.6667,6.0,0.0,0.6891,1.0,0.5,113.0,6.0
0.4837,0.5926,4.0,7.0,0.5482,0.5333,0.6667,106.0,8.0
0.4458,0.6275,0.0,19.0,0.6217,0.4571,1.0,104.0,16.0
0.5613,0.6667,9.0,6.0,0.6247,0.7143,0.625,163.0,15.0
0.5775,0.6842,4.0,8.0,0.6456,0.619,0.7647,131.0,13.0
0.4995,0.6939,0.0,30.0,0.6717,0.5312,1.0,169.0,34.0
0.5869,0.7164,7.0,12.0,0.6681,0.6667,0.7742,176.0,24.0
0.5047,0.6966,0.0,27.0,0.6747,0.5345,1.0,155.0,31.0
0.5945,0.7,4.0,8.0,0.6623,0.6364,0.7778,135.0,14.0
0.4485,0.64,0.0,27.0,0.6288,0.4706,1.0,142.0,24.0
0.4611,0.5556,3.0,5.0,0.5156,0.5,0.625,86.0,5.0
0.5047,0.6966,0.0,27.0,0.6747,0.5345,1.0,155.0,31.0
0.5873,0.7018,11.0,6.0,0.6595,0.7692,0.6452,176.0,20.0
0.5938,0.7,4.0,8.0,0.662,0.6364,0.7778,134.0,14.0
0.4962,0.6563,3.0,19.0,0.6201,0.525,0.875,148.0,21.0
0.4825,0.6122,9.0,10.0,0.555,0.6,0.625,156.0,15.0
0.4475,0.5455,3.0,7.0,0.5103,0.4615,0.6667,101.0,6.0
0.4448,0.64,0.0,27.0,0.6277,0.4706,1.0,139.0,24.0
0.5998,0.6667,7.0,0.0,0.6867,1.0,0.5,116.0,7.0
0.4937,0.6869,0.0,31.0,0.6663,0.5231,1.0,174.0,34.0
