id,full_name
6743320,zdfs/toscani
41282275,openstack/tosca-parser
23577967,OpenTOSCA/container
26014670,alien4cloud/samples
36509759,owulveryck/toscalib
42243454,cloudsoft/brooklyn-tosca
32636150,vmware-archive/tosca-blueprints
46407924,indigo-dc/tosca-types
66405637,oasis-open/tosca-community-contributions
26552857,vmware/tosca-vcloud-plugin
136000940,micado-scale/tosca
90156453,alien4cloud/csar-public-library
196936085,radon-h2020/radon-particles
57296952,indigo-dc/tosca-templates
31603503,SeaCloudsEU/tosca-parser
136991196,tliron/puccini
96331237,StuPro-TOSCAna/TOSCAna
17250203,OpenTOSCA/install.opentosca.org
35503764,tosca-lang/tosca
122080598,ystia/yorc
68013894,di-unipi-socc/TosKer
170151522,xlab-si/xopera-opera
22917794,juju/juju-tosca
24750302,alien4cloud/alien4cloud
129066357,Docma-TU/tosca
41108269,winery/BPMN4TOSCAModeler
27493018,alien4cloud/alien4cloud-extended-types
36889902,owulveryck/toscaviewer
68344186,MegaArman/toscanini
23694336,grycap/im
25360167,alien4cloud/tosca-normative-types
60257503,QualiSystems/Toscana
72833493,di-unipi-socc/Sommelier
48183710,cloudify-cosmo/cloudify-netconf-plugin
91676513,paulscherrerinstitute/tosca
103066466,occiware/TOSCA-Studio
52916295,mrutkows/tosca-translator
59753787,alien4cloud/docker-tosca-types
17954198,kapilt/pytosca
290253418,Orange-OpenSource/Cloudnet-TOSCA-toolbox
47252635,indigo-dc/orchestrator
139149593,ystia/forge
254083986,elinscott/toscam
167812292,KanegaeGabriel/botdokanebot
56247473,lucboutier/tosca-validation
1510888,rodaebel/Tosca
38093219,tomvanwijk/ToscaAPI
43936817,CloudOpting/pilots
106751583,hysds/tosca
41860647,Orange-OpenSource/opnfv-cloudify-clearwater
68508641,QualiSystems/shellfoundry-tosca-compute-template
72996979,QualiSystems/shellfoundry-tosca-pdu-template
84315232,OpenTOSCA/ui
62207252,QualiSystems/shellfoundry-tosca-networking-template
40371585,winery/BPMN4TOSCA2BPEL
159689169,xebialabs-community/xlr-tosca-plugin-v2
121685586,ISAAKiel/tosca
254502070,tliron/turandot
205328931,radon-h2020/demo-tosca-blueprint-aws-lambda
50085729,richcole/ToscanaJ
61642203,aiorchestra/aiorchestra
122080850,ystia/yorc-a4c-plugin
1590199,ConductiveIO/Toscanini
60728541,zooniverse/toscanini
65922935,openstack-archive/deb-python-tosca-parser
63130033,toscafy/toscafy
158693119,Neotys-Labs/Tricentis-Tosca
50605394,dice-project/DICE-Deployment-Cloudify
42193086,ahgittin/tosca-demo
256654269,Kuuhaaku/web-tosca
61960420,aiorchestra/aiorchestra-asyncssh-plugin
35275344,szenzaro/tosca-yaml-object-model
134300462,yuh926323/toscard-reviewer
72997167,QualiSystems/shellfoundry-tosca-resource-template
108971649,xebialabs-community/xlr-tosca-plugin
143633,trivoallan/tosca
116869410,zme1/toscana
61643486,aiorchestra/aiorchestra-openstack-plugin
270750770,jenkinsci/cloudify-plugin
245465134,arvindsharma16/nfvo-converter-tosca-sol6
94756034,StuPro-TOSCAna/stupro_toscana_vorprojekt
54950766,TouSC/TOScanViewController
39313075,vuminhkh/tosca-runtime
295849727,SarahToscano/SarahToscano
50605600,dice-project/DICE-Chef-Repository
44754438,electric-it/clj-tosca
45352350,shayn1234/Clearwater-new
48184987,cloudify-cosmo/yttc
535649,softa/komerci
66349030,noppolp/toscalculator
727667,Nephtys/Tosca-styles
90510032,MegaArman/ask_toscanini
181666169,systic/tosca
90062354,OpenTOSCA/container-client
194695716,alvarohuda/TOSCA
236446107,smuellertosca/tosca
199315016,gavaschem/Tosca
295869932,SarahToscano/SarahToscano.github.io
196609921,mallick-r/TOSCA
129628236,deepakarchinnova/tosca-clarive
244626106,SMSUSER782/Tosca
114817220,monim2/TOSCA
15241253,Roisin2012/ToscairePT
181776335,rhinolinuxproject/tosca
64854374,GilGald/ToscaVisualizer
197175935,rutujakb/ToscaDemo
292463202,gitsaquib/ToscaSample
60169188,linagora/tosca
768459,rainly/tosca
83665347,bhargava468/Tosca
117667993,grycap/tosca
146925825,cran/tosca
271259004,leekri/Tosca
78046333,MapicTricentis/Tosca
220976968,toscao/tosca
223815588,maricaantonacci/TOSCA-Hands-on
131732781,laurentganne/tosca-samples
260442556,QCDIS/sdia-tosca
139779957,sanjanamishra/TOSCA
38093543,tomvanwijk/ToscaAddin
192013776,NarenderNukala/ToscaExamples
216861374,Niteshy29/ToscaCI
243231832,nileshdas1/ToscaGit
306557394,Ritika1219/ToscaCIDummy
75589192,byrhee/tosca-parser
51647982,DoESLiverpool/Tosca
79914894,MarcoTosca/Tosca
209794944,Katyagi/TOSCA
106222103,d-colwell/ToscaExporter
136437948,AravinthrajR/ToscaSample
18484415,xiasiliang-hit/tosca
139672300,SagDub/Tosca
219671456,Vardhanl/Tosca
227698322,rexinne12/tosca
199466726,kisskool057/ToscaCI
226135108,PerfectoMobileSA/ToscaSample
90321770,d-colwell/ToscaSync
131386420,penguinSUN/TOSCardAnalysis
308481100,esteban-andrade/ToscaReq
132097912,alihozefa/ToscaCI
121905787,jediaelProjetos/ToscasFramework
201621248,pradeep87giri/ToscaTesting
131939207,Gopinath21/ToscaNotes
136201527,chrischintricentis/ToscaAnalytics
226040722,taragupt/ToscaUser
114967381,nidhithatsme/TOSCA
138696858,snowfoxtt/Tosca
135285431,AravinthrajR/Tosca
128950502,shambhukadariya/TOSCA
129203137,vishalbilgaiyan/TOSCA
144707242,vyaskirti/Tosca
216988483,s96vishal/tosca
317536252,takahirosuzuki-0/tosca
247644698,pbenoli/ToscanaGit
144180898,GurenDLotus/toscaTest
144415144,m-naveen-kumar/ToscaAutomation
65883825,QualiSystems/ToscaVisualizer
102673091,d-colwell/ToscaData
144718514,vyaskirti/Tosca2
286156330,sdak006/ToscaVideo
318767749,EnriqueRojas23/Toscanos2
4314749,Electrosoup/ToscaWidgets
314988951,KlasafGeijerstam/Tosca
1483555,bmavity/Tosca
151729398,wian777/tosca
140009022,jonathnan-morar/tosca
203807039,anko94/tosca
168757094,kortef/Cloud-Resource-Modelling
189489626,NSO-developer/nfvo-converter-tosca-sol6
32147856,xeviscc/cloudopting-ToscaUI-java
151466116,josephdave/toscana3D
261536665,JanFuhrmann/TOSCA2JAVA-Transformator
19895611,SebastianKirchner/Tosca
171519912,laramaktub/TOSCA
218557859,arosploch/Tosca
210283939,jasenriquez/ToscaTest
276789427,blksmth1725/ToscanaDivino
232726556,toscanas/ToscanasHackettstown
318809092,gunn3r/ToscaBranch
17409619,debbiechiang/toscaLA
128874719,fernandovch/ToscanaProject
181401337,Toscaro/ToscaroBot
273517544,OpenTOSCA/tosca-normative-types
102772017,tnadeau/TOSCA
149063023,alekhya29/Tosca
187410037,ava-jpl/tosca
231618575,Paragk1/Tosca
246472903,Pavan-lab92/Tosca
38093708,tomvanwijk/ToscaReportGenerator
59950877,steilerDev/TOSCA4IoT
105253223,winery/test-repository-yaml
30384815,derekpalma/tosca
163921702,VadimStoyan/Tosca
198168452,rhencep/Tosca
259844438,rhlpandey1/Tosca
247748438,sreevatsa-ramya/tosca
137028840,Tricentisyogch/ToscaGitHub
67674341,d-colwell/ToscaSourceControl
317379941,fidenkhan/ToscaAzureDevOps
287888997,Jay007-45/ToscaTestDemo
103065100,stephaniechallita/TOSCA2OCCI
217518249,nithyanandap-github/Pickles_ToscaRepository
30384815,derekpalma/tosca
163921702,VadimStoyan/Tosca
198168452,rhencep/Tosca
259844438,rhlpandey1/Tosca
247748438,sreevatsa-ramya/tosca
204583819,maithra-jadhav/ToscaPipeLine
45321769,iltempe/ToscanaMeteoAPI
89084268,mmeissler/tosca4iotapp
135270607,toscano84/toscano84.github.io
283528795,sborugul/ToscaRepository78
52386804,tosca-lang/atom
83521837,sravanthinalla/Tosca_new
72459582,ALU-CloudBand/tosca-docs-generator
61820717,PisaCoderDojo/ToscanaDojoCon2016-landingpage
220148089,hihi-2019/pandoras-box
216580877,Bhupendra-wk19/EffactsV1.0
89350730,MGCSS/ToscanoRodriguez_Practica2Hibernate
535653,softa/visanet
136208031,chrischintricentis/Analytics
190288387,rafaelhss/rafashomepage5
252521881,ericdeback/ericdeback-Tosca-Demo
88055650,TimtationOne/TOSCA4IoT_Engine
138901385,Laniakea-elixir-it/TOSCA-templates
4846120,fczuardi/parodias
157706828,wagesreiterb/tosca_test
171806890,Shazia-Dean/HarveyNormanToscaTests
31743388,galara/Toscana
171868164,jaydesl/TOSCAKubed
168638085,benjithompson/TOSCASets
232764325,toscanosimo/toscanosimo
31897292,CloudOpting/tosca_middleware
290707780,kefaeric/tosca-service-chain
116656678,gayathrigadiyaram/toscaintegration
140887888,diegoespinosamora/toscana
172036889,brixterkim123/TOSCATraining
158501462,RahulV3189/TOSCACI
277718801,andyjjrt/toscard
1729980,sadubr/Toscao
235814326,9643kavinder/TOSCALT
60932510,AutoTestingToolsSoftwareAndServices/ToscaForBambooPluginDemoRepository
202541782,WebAdviser/toscana
252986366,m0ses-whiteraven/TOScanner
290957584,vt250132/Toscanofinal
56198877,kenaxle/tosca2camp-0.0.1-SNAPSHOT
18062357,danui/toscan
57220966,tliron/toscapy
60933060,autotestingtools/ToscaForBambooPluginDemoRepository
25069867,net7/toscanatrails
18433206,toscan/toscan
49048806,jarvis-theme/toscashop
31921563,tosca-lang/toscadoc
129253707,than-tryf/toscasg
306628241,naina1010/TOSCACI
31551711,midonet/toscana
48983169,yogaswara/toscashop
181308169,johnny3857/toscana
276671487,davidalejozz/toscana
189023052,thebabr27/toscana
139774226,sanjanamishra/TOSCATest
42097975,didlegrand/toscagroove
134570546,RDilone/toscana
165330874,raisa16/toscano
230321332,rasensi/toscares
38285878,tosca/toscaragnini
290432992,chumy/TOSCalc
29811120,openhealthcare/toscanini
66879016,romaen/TOSCalc
92757404,cparmar1274/TOSCABPReview
230321315,rasensi/toscare
62519975,d-colwell/TosGit
31058312,everycrypto/toscanacoin
285097887,chilupe/Toscana
15241088,Roisin2012/Toscaire
161236687,devittfrank/toscaparser
213063507,franv13/Toscana
261545443,renzo0809/Toscana
308185006,84KaliPleXon3/toscani
7399898,may-day/tw2.olap
260436442,QCDIS/tosca-sure
287354332,rafaelmano/kynelamano
249332094,daniellobo00/Calculadora
158251288,tliron/tosca-future
95014973,serbanjora/TOSCA-Validator
121912565,jediaelProjetos/ImplementacaoTosca
121912399,jediaelProjetos/melhorias_tosca
131939163,Gopinath21/Tosca-Notes
153115844,jsoldani/tosca-intake
284990995,mvalasek/rcm-tosca
173563998,jshepin/ToScan
28877611,sdiluise/TOscAny
40885847,aur-archive/python-toscawidgets
8930196,anandbabu-r/TOSCA_Artifacts
50951910,dchandana/TOSCA_Framework
83406179,anatoly-katzman/tosca-parser
161143820,DODAS-TS/tosca-types
101773591,opencord/xos-tosca
301940546,MatryxSoftGitHub/Netmeds_Tosca
165853105,di-unipi-socc/trans-cloud-model-manager
125526366,alien4cloud/alien4cloud-kubernetes-plugin
279922992,aria-jpl/sar-availability
138144754,oktaviansn/D-tosca
131429882,djbpitt/toscana-flatten
245122463,asalic/tosca-standard
212086617,opentelekomcloud-blueprints/tosca-tutorials
185754027,zondor/automation-tosca
299612235,giopnd/nlp-tosca
2870946,gooselinux/python-toscawidgets
51249311,patperu/AriaToscana
95008469,ruhiparvatam/tosca-parser
72381194,incantotoscano/IncantoToscano
196076659,jrichards-msft/heat-tosca
202409953,avtxD/toscano-disk
232854921,eurolinux-enterprise-linux-sources/python-toscawidgets
40379836,spzala/tosca-parser
39631451,jsoldani/TOSCA-matcher
86056844,ghazanfarf/TOSCA_Import
76484686,pferronato/sdno-tosca
199146159,TestTosca/Tosca-Repo
257644527,paolavrgs/toscana-ciudadela
126433813,anilmainali/Tricentis-Tosca
171798541,SumanpreetJhinjer/automationTosca
214964424,ProfToscano/ProfToscano
285475545,Ms507376/TOSCA-Overview
243574376,LucasToscani179/Lucas_Toscani
43936785,CloudOpting/cloudopting-toscaide
149092702,FarnazZ/NFV-Tosca
119458868,StuPro-TOSCAna/TOSCAna-Samples
127851848,TSACR-AdminLisa/Toscan-web
203607886,1140904020/Jesus-Toscano
248222637,runcioa/covidToscana
250204101,UST-EDMM/tosca-lightning
299858337,iotwins-demo/tosca-templates
41730018,jsoldani/TOSCA-MART
42304077,kgrvamsi/tosca-sample
44754702,electric-it/tosca-lens
97809288,dmichelotto/tosca_tmp
110852014,salvarezm/tosca_examples
139429848,xeppen/tosca_test
136129250,hhb584520/vcpe_tosca
195054856,francofrolla/ExploraTosca
281602670,msadmin2020/Netmeds_Tosca
53164117,electric-it/node-tosca
60163371,linagora/tosca-extensions
84424922,rutyslo/tosca-parser
89826080,MegaArman/toscanini_android
185748994,systic/tosca_ff
172166379,sunbory/tosca-parse
203840086,GustavoGuapobb69/Gustavo-Toscano
227683080,polochinoc/TOSCA-Validator
258668747,Wecan-dev/Toscana-ciudadela
278263773,msadmin2020/Tosca_Netmeds
185613636,di-unipi-socc/microTOSCA
311609272,opentelekomcloud-blueprints/tosca-marketplace
60070931,pdevito61/tosca-demo
105740753,saketrule/ToScala
165461296,sailajavinakanti/Tosca-Demo
146462089,lharzenetter/tosca-definitions
240031884,VaCH2/tosca-analysis
22870685,jojow/tosca-tools
38512854,jeanlopes/frutas_toscas
38607125,ugolancia/Derma_toscana
115156755,StevenKrone/toscadashboard-exp
194717638,alvarohuda/tosca-extraordinary
144314083,xosproject/xos-tosca
316213023,snykOS/ToScan
99216143,Vinita-Singh/Tosca-Available
91445428,xlab-si/sphinx-tosca
107968889,apomic80/dotnetconf-toscana
138598938,loicalbertin/tosca-samples
67264254,npmcdn-to-unpkg-bot/ProjectToscana
182065174,s96vishal/tosca_tc
209251437,587879aln/TOSCA_Finance
278109274,BoppDl/OpenTosca
283263304,maricaantonacci/tosca-types
16582025,oscarjiv91/sistema-toscana
54501845,QualiSystemsLab/tosca_standards
86493904,jesustoskno/Toscatronic.pemexone
99803128,CNR-ITTIG/LeggiToscana
106188047,sgonzalo84/vereda-toscal
115156739,StevenKrone/toscadashboard-ng
125084646,CriMenghini/toscana-tweet
165647383,noffil/tosca_test
301941090,MatryxSoftGitHub/Tosca_Netmeds
206777661,ystia/tosca-samples
136424973,ajobayer/tosca-sample
161142855,DODAS-TS/tosca-templates
205089872,Parag1701/tosca-git
61006266,blainechai/TOSCA-chef
114556101,UoW-CPC/COLARepo
55016950,no-org-dot-org/tosca-templates
50730157,HackerspaceTrento/HackToscana
57216196,pdevito61/tosca-svil
172709791,sramponi86/TestTosca
217043821,Lahari-deloitte/Tosca-lahari
296042486,ReCaS-Bari/tosca-types
278163581,juvenal007/LaToscana
115764719,onap/modeling-toscaparsers
55016950,no-org-dot-org/tosca-templates
50730157,HackerspaceTrento/HackToscana
57216196,pdevito61/tosca-svil
172709791,sramponi86/TestTosca
217043821,Lahari-deloitte/Tosca-lahari
296042486,ReCaS-Bari/tosca-types
45185674,cloudsoft/tosca-base-types
173273416,xlab-si/xopera-examples
194082562,tri-fraga/FloodToolsAddIn
32705833,pqnet/tosca-yaml-parser
122053783,QualiSystems/shellfoundry-tosca-traffic-generator-controller-service-template
99031784,oantunesp/SPR001
91748065,d-colwell/JiraSync
122393821,OpenTOSCA/tosca-definitions-public
299451161,blackcrw/Arduino
122053727,QualiSystems/shellfoundry-tosca-custom-service-template
72637616,GabrielGrimberg/La-Toscana-Website
87972930,open-o/common-tosca-catalog
160565230,dereklopes/sample-TOSCA-profile
271532242,izharabbasi/Scraping-quotes-toscape.com-
57882475,alfcrisci/layer_geoscopio_Toscana
3788500,BrixtonC/ToSCalc.py
87972824,open-o/common-tosca-aria
87973051,open-o/common-tosca-inventory
144325554,automationtestgit/automaToscaGit
187028051,vebqa/hp2tosca
234562249,princessfruittt/tosca-k8s
191104269,rahulmanna/IntegrationWithTosca
48606129,nyuuyn/PhpMoodleApp
143669565,mpwibm/K8S-Deploy-Core
244485600,lharzenetter/tosca-definitions-workshop
42120728,javierpena/python-tosca-parser
162602822,josecastillolema/etsi2tosca
70631003,01000101/aria-csar-extension
185754172,zondor/awesome-subsets
35319495,alexander-bergmayr/caml2tosca
122053445,QualiSystems/shellfoundry-tosca-cloud-service-template
221243732,ystia/tdt2go
12433309,VRT-onderzoek-en-innovatie/tosca-mp-services
101315814,MikeAScott/tosca-jenkins-helpers
260493004,QCDIS/openAPI-model
23809745,yvonnemm/Buildicus-Villa-Tosca-Travel
67747765,blsaws/tosca-hello-world
106340689,dfilppi/fortigate-tosca-example
133096817,MegaArman/Ask_Toscanini_v0
115206499,openov2/common-tosca-inventory
218659165,santiagotoscanini/Toscanini-Tejerina-IS
274180047,xlitman13/Team-Toscani-Code
33222550,realjoet/bdw-blog-joe-toscano
82678730,eradan/ckanext-toscana-reports
83288949,scaccogatto/cfr-toscana-api
113341346,teone/xos-tosca-cli
177048611,Shazia-Dean/Small-Tosca-Project
241312307,radon-h2020/demo-tosca-blueprint-openfaas
189942815,raghvendra-v/tosca-yaml-lsp
163863991,pmjordan/TOSCA_for_TMForum
81971729,lucboutier/tosca-artifact-samples
265577853,toscanadecor/toscanadecor.github.io
244666496,Rishon73/tosca-execute-print-email
244761223,sunetro123/from-empty-toscala
30645065,nyuuyn/openTOSCAContainerDependencies
47966582,alpegon/tosca-to-hot
131271789,vebqa/vebtal-tosca-keywords
126427525,lianhao/vCPE_tosca
174755714,matosca/maria_toscano_PDA
170233075,Shazia-Dean/Tosca-Training-AccessToys-
243535205,AkshayP36/TestToscaJenkins
284975650,ToscanaPirata/www.toscanapirata.it
243543041,lexis-project/application-templates
32009441,kiuby88/tosca-parser-OT
54025442,csgf/jsaga-adaptor-tosca
110112092,pineunity/mec-tosca-parser
134291089,tommyblue/pediatri-usl-toscana-centro
115206535,openov2/common-tosca-model-designer
128033039,QualiSystems/shellfoundry-tosca-loadbalancer-template
238565031,baptistemokas/Toscade_Project-MATLAB-
292589214,Ms507376/TOSCA-Interview-Questions
144216662,arjunkapur95/referencePointToscaTestcases
134079202,LaviniaToscani/LaviniaToscani2vv
129739361,QualiSystems/shellfoundry-tosca-cloudprovider-template
170234584,Shazia-Dean/Tosca-Training-Grand-Scenario-
120610078,osinstom/kubernetes-cluster-tosca
216531912,DivyaK13/sampleTosca2
80401702,QualiSystems/shellfoundry-tosca-firewall-template
20850853,xiasiliang-hit/tosca_db2
64408007,alien4cloud/mesos-tosca-blueprints
67333147,QualiSystems/shell-networking-standard-tosca
82373244,ZebigD/tosca_java_model
187005832,DARKinVADER/TricentisToscaCustomizationTutorials
199859819,nathaliacamara/Automation_Project_Tosca
287319180,toscachips/tosca.github.io
191824360,adispataru/aspide-tosca-dsl
115069264,onap/sdc-sdc-tosca
318225365,Toscar-bit/toscar.gihub.io
23708293,eradan/ckanext-toscana_theme
84080636,eradan/ckanext-toscana-harvest
165592435,NaturesProphet/AutenticacaoBasicaTosca
170238456,Shazia-Dean/Tosca-Training-Level-1
183388919,systic/tosca_wires_final
198871466,cristianoc72/il-bosso-di-toscana
163548517,joseppe10/Discord-Tosca-Bot
244163422,vinkal3/for-git-tosca
225992444,Rishon73/tosca-ci-integration
82539813,ditrit/tosca_java_model
254648405,eriksanchez/toscana-riporti-project
144216662,arjunkapur95/referencePointToscaTestcases
134079202,LaviniaToscani/LaviniaToscani2vv
129739361,QualiSystems/shellfoundry-tosca-cloudprovider-template
170234584,Shazia-Dean/Tosca-Training-Grand-Scenario-
120610078,osinstom/kubernetes-cluster-tosca
216531912,DivyaK13/sampleTosca2
80401702,QualiSystems/shellfoundry-tosca-firewall-template
20850853,xiasiliang-hit/tosca_db2
64408007,alien4cloud/mesos-tosca-blueprints
67333147,QualiSystems/shell-networking-standard-tosca
82373244,ZebigD/tosca_java_model
187005832,DARKinVADER/TricentisToscaCustomizationTutorials
199859819,nathaliacamara/Automation_Project_Tosca
287319180,toscachips/tosca.github.io
191824360,adispataru/aspide-tosca-dsl
115069264,onap/sdc-sdc-tosca
318225365,Toscar-bit/toscar.gihub.io
243543041,lexis-project/application-templates
46990951,ErickaToscano01/Practica-ErickaToscano
87973145,open-o/common-tosca-model-designer
160487433,DDemmer1/open-tosca-test-app
285942602,toscalechner/toscalechner.github.io
304301643,qcdis-sdia/sdia-sure_tosca-client
61383418,toscards/toscards.github.io
65225739,FutureGateway/TestTosca-portlet
278273905,manuelvita96/webdesign.toscana.it
317373893,Toscar-bit/Toscar.github.io
317530517,pmjordan/OAS3-to-TOSCA
61816594,aiorchestra/aiorchestra-docker-plugin
109027788,UoW-CPC/ColaPolicies
240102344,tliron/puccini-web
51061849,lucboutier/tosca-test-cases
31172348,hschne/tosca-user-account
136473212,schut79/valori-tosca-repository
208803409,projeto-de-algoritmos/Graphs2-MatheusToscano
221362459,tosca-wilson/tosca-poke-api
242997596,radon-h2020/radon-tosca-metrics
318501772,renghen/scala2toscala3
13505642,nadirs/toscana_comuni_latlong
81724262,anatoly-katzman/tosca-support-matrix
86044073,tktamas/CodeBlocks_TOSCAN
119054351,icshwi/e3-tosca
285810088,frassom/wp-covid-19-toscana
203573429,OpenTOSCA/tosca-yaml-plugins
144883534,automationtestgit/DB_TOSCA_SBL63_ECH
216775720,radon-h2020/demo-lambda-thumbgen-tosca-datapipeline
19939642,tosca-types/openstack
60285311,CloudCycle2/heatTemplate-openTOSCA-Container
39836413,dfensgmbh/biz.dfch.CS.Tosca.Model
90533088,QualiSystems/shellfoundry-tosca-software_asset-template
91097478,DangiGabri/Sito-Softair-Lupi-di-Toscana
207505486,j-toscani/tic-tac-toe-j-toscani
183979480,Shazia-Dean/G8EduToscaProject
181350309,dan3toscano/dan301toscano.github.io
251551726,radon-h2020/demo-tosca-blueprint-azure-function
288107799,ErickLlerenas/la-app-de-memo-toscano
100939982,QualiSystems/shellfoundry-tosca-broadband_media-template
72996501,QualiSystems/shellfoundry-tosca-traffic-generator-template
106561946,kleinech/TOSCA-YAML-XML-Converter-Presentation
66653795,JureBericic/HallC_PyToscaFM
66928901,alien4cloud/alien4cloud-tosca-conformance
178214578,caseimagine/19NZS000518AllianzToscana
82186130,ditrit/workflows
221645429,chinmaya-dehury/webApp-loadbalancer-DB-TOSCA
40699422,toscanarestaurant/Toscana-City-Centre-Italian-Restaurant
207408468,vc-csv15/EX01-LinearSearch-julia-toscano
256826685,garciadd/XDC_Deep
173762864,QualiSystems/shellfoundry-tosca-generic_connectable_resource-template
207291861,EDAII/Lista2_IgorGomes_MatheusToscano
22425544,GITenberg/La-Tosca--Drame-en-cinq-actes_19540
163728197,QualiSystems/shellfoundry-tosca-admin-only-custom-service-template
22524975,GITenberg/Garibaldi-in-toscana-nel-1848_34066
263590770,Afsana2910/webApp-loadbalancer-node_exporter-TOSCA
171273266,QualiSystems/shellfoundry-tosca-resource_with_connected_commands-template
267197438,ARex1394/TareaEnCasaDiegoArturoToscaHdez
220678749,shogunxam/Home-Assistant-custom-components-cfr-toscana
215160093,EDAII/Lista4_MatheusToscano_IgorAragao
46468539,atabisz/tcdutils
211736090,EDAII/Lista3_IgorGomes_MatheusToscano
205408707,EDAII/Lista1_IgorGomes_MatheusToscano
317850539,qmatteoq/DotNetConf2020-DotNetToscana
5486373,andrenicodemus/project-euler
109001544,gleblebedev/Urho3D_Nyra
188049921,surbhisonkiya/Blueprints-Cloudify-OpenStack
181262521,hysds/hysds_ui
298295423,SODALITE-EU/iac-modules
122201995,QualiSystems/shellfoundry-tosca-traffic-generator-chassis-template
251555469,radon-h2020/demo-tosca-blueprint-faas-aws-azure
246879918,BorjaEst/im-test
122201995,QualiSystems/shellfoundry-tosca-traffic-generator-chassis-template
251555469,radon-h2020/demo-tosca-blueprint-faas-aws-azure
143782212,onap/archive-sdc-dcae-d-tosca-lab
194831468,Legion2/external-service-injection
115029572,Arunr007/DevOp-automation-seminar-paper
274923999,unict-cclab/TORCH
71890928,di-unipi-socc/DrACO
130203873,EricFernandezDC/SoftiFIRE-Hackathon
99420995,ditrit/normative_types
186997760,surbhisonkiya/openstack-network
74282157,di-unipi-socc/tosker-types
62570021,aiorchestra/aiorchestra-chain-plugin
297274835,SODALITE-EU/platform-discovery-service
135136612,st107755/BA
59925985,horita-yuya/AP
222843851,benjithompson/SSLapp
3246050,lsl/ddcl
141794451,MonolithProjects/NC_VNF_MANO_ArtIracts
40482520,tosca-types/mediawiki
225428765,SODALITE-EU/iac-quality-framework
46868552,owulveryck/digraph
9766232,suhaswlk/dropdown-check-list
52270150,dice-project/DICE-Deployment-Service
201532326,Bombeta/CidadeDeMerda
64390277,toscafy/csar-bricks
264846184,radon-h2020/radon-datapipeline-plugin
225427683,SODALITE-EU/verification
133923600,onapdemo/so
129539228,dztunc/funcoes
225428689,SODALITE-EU/defect-prediction
277592018,GITenberg/XII-conti-pomiglianesi-con-varianti-avellinesi-montellesi-bagnolesi-milanesi-toscane-ecc_62477
22538780,GITenberg/Rimatori-siculo-toscani-del-dugentoSerie-prima---Pistoiesi-Lucchesi-Pisani_39239
228704036,jorgefnb64e/Entrega---Programaci-n-Web-para-el-docente-Alexander-Toscano-Ricardo---Diciembre-de-2019
86910582,ns7381/cloud-ops
85276961,Lvbo163/workflowmodeler
93355453,mpanicker/cloudify-aws-nodejs-mongo
158908664,WF-ShAre/NJ-WF
151773776,WF-ShAre/Picard-WF
64192232,d-colwell/TosCode
158792300,WF-ShAre/LifeCycleScripts
156462337,jrrsblues/ArenadosHerois
105375353,alefais/ase-fall-17
52245192,junneyang/cloudify-practice
