id,url,smelly,lines_code
143,https://raw.githubusercontent.com/alien4cloud/alien4cloud-kubernetes-plugin/3.0.x/src/main/resources/csar/scripts/kubectl_job_cancel.sh,,
516,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/elasticsearch/centos/scripts/elasticsearch/start_elasticsearch.sh,,1.0
127,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/node-mongo/scripts/app/stop.sh,,1.0
149,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/rstudio/linux/bash/scripts/rstudio_configure.sh,,
531,https://raw.githubusercontent.com/alien4cloud/mesos-tosca-blueprints/master/mesos-types/scripts/rexray/configure_connectsToLibStorage.sh,,1.0
741,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/ssl/ansible-ssl-certificates/playbooks/create.yml,,24.0
523,https://raw.githubusercontent.com/alien4cloud/samples/master/wordpress/scripts/install_php_module.sh,,27.0
29,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/samples/dummylogs/linux/bash/scripts/dummylogs_install.sh,,9.0
457,https://raw.githubusercontent.com/alien4cloud/mesos-tosca-blueprints/master/aurora-types/scripts/configure_scheduler.sh,,
194,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/sockshop-app/sockshop/scripts/carts/start.sh,,1.0
187,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/demo/spark/streaming/scripts/SparkStreamingHDFSWriter/configure.sh,,7.0
544,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/software-link/scripts/stop.sh,,1.0
498,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/sockshop-app/sockshop/scripts/payment/uninstall.sh,,1.0
765,https://raw.githubusercontent.com/radon-h2020/demo-tosca-blueprint-aws-lambda/master/playbooks/lambda/create.yml,,33.0
51,https://raw.githubusercontent.com/ystia/yorc-a4c-plugin/develop/tosca-samples/org/ystia/yorc/samples/OrchestratorHost/aws-custom-resources/scripts/EC2Instance/delete.sh,,5.0
461,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/flink/linux/bash/scripts/flink_tm_start.sh,,4.0
433,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/kibana/linux/bash/scripts/kibana_stop.sh,,
767,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/yorc/yorc/linux/ansible/playbooks/configure_terraform.yml,,21.0
103,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/www/wordpress/scripts/config_wordpress_for_mysql.sh,,9.0
378,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/squid3/linux_sh/scripts/install_squid3.sh,,6.0
768,https://raw.githubusercontent.com/lexis-project/application-templates/master/common/datatransfer/playbooks/setup_cloud_staging_area.yaml,,30.0
280,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/flink/linux/bash/scripts/flink_tm_configure.sh,,
270,https://raw.githubusercontent.com/alien4cloud/samples/master/php/scripts/install_php.sh,,20.0
13,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/logstash/linux/bash/geonames/update.sh,,
35,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/automation/cloudify/manager/v3/scripts/Cloudify3Manager/configure.sh,,
722,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/ssl/ansible-ssl-certificates/playbooks/configure.yml,,74.0
499,https://raw.githubusercontent.com/alefais/ase-fall-17/master/homework6/scripts/create_doodle.sh,,3.0
606,https://raw.githubusercontent.com/alien4cloud/samples/master/demo-lifecycle/scripts/GenericConnectToGeneric/pre_configure_source.sh,,4.0
200,https://raw.githubusercontent.com/alien4cloud/mesos-tosca-blueprints/master/mesos-types/scripts/master/start.sh,,
133,https://raw.githubusercontent.com/oasis-open/tosca-community-contributions/master/examples/basic-template/scripts/sampletargetnode-stop.sh,,1.0
52,https://raw.githubusercontent.com/alien4cloud/alien4cloud-kubernetes-plugin/3.0.x/src/main/resources/csar/scripts/kubectl_endpoint_join.sh,,1.0
645,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/traefik/ansible-linux/playbooks/configure_service_health_check.yaml,,30.0
439,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/automation/cloudify/ansible/scripts/Ansible4CloudifyManager/install.sh,,
727,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/nodetypes/radon/nodes/nifi/nifipipeline/files/create.yml,,63.0
530,https://raw.githubusercontent.com/alien4cloud/samples/master/demo-lifecycle/scripts/Generic/delete.sh,,4.0
296,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/sockshop-app/sockshop/scripts/orders/uninstall.sh,,1.0
700,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/single-node-example/nodetypes/radon/nodes/nifi/nifipipeline/files/configure.yml,,87.0
389,https://raw.githubusercontent.com/alien4cloud/mesos-tosca-blueprints/master/mesos-types/scripts/slave/configure_connectsToDNS.sh,,6.0
776,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/samples/apache-log-generator/linux/ansible/apache-log-generator_stop.yaml,,11.0
49,https://raw.githubusercontent.com/alien4cloud/samples/master/kubernetes/scripts/kubernetes/namespace/namespace.sh,,
184,https://raw.githubusercontent.com/alien4cloud/alien4cloud-kubernetes-plugin/3.0.x/src/main/resources/csar/scripts/kubectl_service_wrapper.sh,,
538,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/alien4cloud/webapp/scripts/elasticsearch/ConnectToElasticSearch/pre_configure_source.sh,,
391,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/automation/a4c/config/backupRestoreS3/scripts/aws_credentials_config.sh,,
635,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/docker/ansible/playbooks/start.yaml,,9.0
60,https://raw.githubusercontent.com/opentelekomcloud-blueprints/tosca-marketplace/main/scripts/bash/scripts/stop.sh,,4.0
558,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/mysql/linux_pup/scripts/stop_mysql.sh,,3.0
573,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/alien4cloud/config/backupRestoreS3/scripts/aws_credentials_config.sh,,
228,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/vault/vault_sh/scripts/vault/configure_vault.sh,,
596,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/lang/php/debian_sh/scripts/install_php.sh,,20.0
797,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/dns/resolvconf/ansible/playbooks/add_target_dns_server.yaml,,10.0
161,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/beats/linux/bash/scripts/configure_packetbeat.sh,,
627,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/yorc/yorc/linux/ansible/playbooks/configure_openstack_secrets.yml,,37.0
430,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/mysql/linux/bash/scripts/mysql_start.sh,,4.0
311,https://raw.githubusercontent.com/alien4cloud/samples/master/demo-lifecycle/scripts/RegistryConfigurer/start.sh,,
582,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/demo/spark-jobs/scripts/run.sh,,77.0
297,https://raw.githubusercontent.com/alien4cloud/samples/master/kubernetes/scripts/docker/stop_docker.sh,,1.0
12,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/spark/linux_sh/scripts/install_spark.sh,,
732,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/haproxy/linux/ansible/playbooks/stop.yaml,,10.0
360,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/logstash/linux/bash/twitter/twitter_addLanguages.sh,,
605,https://raw.githubusercontent.com/alien4cloud/mesos-tosca-blueprints/master/mesos-types/scripts/marathon/start.sh,,5.0
30,https://raw.githubusercontent.com/shayn1234/Clearwater-new/master/yaml/scripts/homer.sh,,
238,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/xfs/linux/bash/scripts/mount.sh,,13.0
219,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/logstash/linux/bash/twitter/twitter_changeUseSamples.sh,,
59,https://raw.githubusercontent.com/alien4cloud/mesos-tosca-blueprints/master/aurora-types/scripts/install_scheduler.sh,,
792,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/yorc/yorc/linux/ansible/playbooks/start.yml,,11.0
319,https://raw.githubusercontent.com/oasis-open/tosca-community-contributions/master/examples/basic-template/scripts/samplerelationship_remove_target.sh,,1.0
131,https://raw.githubusercontent.com/shayn1234/Clearwater-new/master/yaml/scripts/dns.sh,,
747,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/traefik/ansible-linux/playbooks/configure.yaml,,22.0
522,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/sandbox/services/dummy/client/scripts/add_target.sh,,
102,https://raw.githubusercontent.com/lucboutier/tosca-artifact-samples/master/1-simple-shell/scripts/create.sh,,
75,https://raw.githubusercontent.com/alien4cloud/alien4cloud-kubernetes-plugin/3.0.x/src/main/resources/csar/scripts/kubectl_resource_wrapper_uninstall.sh,,
15,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/rstudio/linux/bash/scripts/rstudio_stop.sh,,4.0
451,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/cloudify/manager/v4/scripts/openstack_init_conf_file.sh,,
243,https://raw.githubusercontent.com/alien4cloud/alien4cloud-kubernetes-plugin/3.0.x/src/main/resources/csar/scripts/kubectl_job_run.sh,,
333,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/thinking-app/thinking/scripts/api/push_default.sh,,
240,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/flink/linux/bash/scripts/flink_jm_start.sh,,5.0
690,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/docker/containers/generic/playbooks/delete.yaml,,10.0
363,https://raw.githubusercontent.com/StuPro-TOSCAna/TOSCAna-Samples/master/lamp-input/my_app/configure_myphpapp.sh,,6.0
357,https://raw.githubusercontent.com/alien4cloud/samples/master/aws-custom-resources/scripts/MariaDB/delete.sh,,4.0
146,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/node-mongo/scripts/node/install.sh,,4.0
805,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/nodetypes/radon/nodes/nifi/nifiplatform/files/delete.yml,,7.0
616,https://raw.githubusercontent.com/laurentganne/tosca-samples/master/complexTypes/types/scripts/configure.sh,,5.0
198,https://raw.githubusercontent.com/laurentganne/tosca-samples/master/iterations/component/scripts/iterate.sh,,10.0
709,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/yorc/yorc/linux/ansible/playbooks/configure_openstack.yml,,170.0
562,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/vault/vault_sh/scripts/vault/start_vault.sh,,
25,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/rstudio/linux/bash/scripts/rstudio_to_filesystem.sh,,
672,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/single-node-example/nodetypes/radon/nodes/nifi/nifipipeline/files/create.yml,,52.0
647,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/experimental/consul/linux/ansible/playbooks/consul_maint.yml,,8.0
631,https://raw.githubusercontent.com/lexis-project/application-templates/master/weather-climate/components/webdrops/playbooks/download_webdrops_data.yaml,,35.0
655,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/traefik/ansible-linux/playbooks/remove_route.yaml,,9.0
466,https://raw.githubusercontent.com/alien4cloud/samples/master/tomcat-war/scripts/tomcat_install_war.sh,,
591,https://raw.githubusercontent.com/ystia/yorc-a4c-plugin/develop/tosca-samples/org/ystia/yorc/samples/job/noscheduler/components/scripts/operations/on_target_change.sh,,5.0
446,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/automation/cloudify/manager/v4/scripts/azure_do_configure.sh,,
121,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/cloudify/manager/v4/scripts/openstack_do_configure.sh,,
92,https://raw.githubusercontent.com/alien4cloud/samples/master/aws-custom-resources/scripts/EC2Instance/start.sh,,
392,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/mock/bash/scripts/operation.sh,,
571,https://raw.githubusercontent.com/ystia/yorc-a4c-plugin/develop/tosca-samples/org/ystia/yorc/samples/DataTypes/linux/scripts/create.sh,,1.0
512,https://raw.githubusercontent.com/alien4cloud/samples/master/demo-lifecycle/scripts/Generic/start.sh,,4.0
239,https://raw.githubusercontent.com/vuminhkh/tosca-runtime/master/cli/src/main/resources/csars/bootstrap/component/scripts/start_docker_component.sh,,14.0
409,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/java/pub/scripts/hosting_on_java.sh,,1.0
204,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/cloudify/manager/v4/scripts/install_key.sh,,15.0
123,https://raw.githubusercontent.com/alien4cloud/samples/master/demo-lifecycle/scripts/GenericConnectToGeneric/add_target.sh,,4.0
323,https://raw.githubusercontent.com/shayn1234/Clearwater-new/master/yaml/cloudify-diamond-snmp-extension-master/scripts/setup_snmpd.sh,,
322,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/cloudera/linux/bash/scripts/clouderaagent_install.sh,,
490,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/automation/cloudify/manager/v4/scripts/aws_configure_key.sh,,
584,https://raw.githubusercontent.com/shayn1234/Clearwater-new/master/yaml/scripts/policy-stop.sh,,2.0
65,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/nifi/linux/bash/scripts/nifi_install.sh,,
532,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/automation/a4c/webapp/scripts/alien/install_alien.sh,,
10,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/automation/a4c/webapp/scripts/alien/start_alien.sh,,
809,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/yorc/yorc/linux/ansible/playbooks/configure_hostspool.yml,,16.0
450,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/vault/vault_sh/scripts/vault/cleanup_vault.sh,,2.0
566,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/automation/cloudify/manager/v4/scripts/openstack_init_conf_file.sh,,
493,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/logstash/linux/bash/twitter/twitter_removeLanguages.sh,,
749,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/samples/apache-log-generator/linux/ansible/apache-log-generator_install.yaml,,
303,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/squid3/linux_sh/scripts/start_squid3.sh,,7.0
285,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/mysql/linux/bash/scripts/mysql_db_configure.sh,,5.0
345,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/logstash/linux/bash/twitter/twitter_changeFullTweet.sh,,
705,https://raw.githubusercontent.com/opentelekomcloud-blueprints/tosca-marketplace/main/scripts/ansible/tasks/scripts/add_source.yaml,,9.0
487,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/sockshop-app/sockshop/scripts/catalogue/stop.sh,,1.0
203,https://raw.githubusercontent.com/alien4cloud/samples/master/tomcat-war/scripts/tomcat_start.sh,,
628,https://raw.githubusercontent.com/lexis-project/application-templates/master/common/datatransfer/playbooks/movefile.yaml,,21.0
546,https://raw.githubusercontent.com/vuminhkh/tosca-runtime/master/cli/src/main/resources/csars/bootstrap/consul/scripts/create_consul.sh,,35.0
386,https://raw.githubusercontent.com/opentelekomcloud-blueprints/tosca-tutorials/master/examples/nodecellar/scripts/install-nodecellar-app.sh,,14.0
423,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/node-mongo-csar/node-mongo/scripts/install_node.sh,,4.0
168,https://raw.githubusercontent.com/vuminhkh/tosca-runtime/master/cli/src/main/resources/csars/bootstrap/consul/scripts/join_consul_cluster.sh,,4.0
780,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/nodetypes/radon/nodes/nifi/nifipipeline/files/configure.yml,,86.0
202,https://raw.githubusercontent.com/vuminhkh/tosca-runtime/master/cli/src/main/resources/csars/bootstrap/daemon/scripts/start_docker_daemon.sh,,11.0
630,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/terraform/linux/ansible/playbooks/delete.yml,,10.0
210,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/samba/samba_sh/scripts/smbClient/install.sh,,2.0
